iter	Logloss
0	0.6865569965
1	0.6799983695
2	0.6748896196
3	0.6692503587
4	0.6635088344
5	0.6574441227
6	0.6515172821
7	0.6454069671
8	0.6396532319
9	0.6340430005
10	0.6301743035
11	0.6256626927
12	0.6206117198
13	0.6155279362
14	0.6107439121
15	0.6062057853
16	0.6011261616
17	0.5963495329
18	0.593341409
19	0.5885081372
20	0.5845671443
21	0.5807228896
22	0.5765604522
23	0.5724771112
24	0.5695008095
25	0.565134947
26	0.5612007413
27	0.5578561566
28	0.5539414074
29	0.5509005384
30	0.546868
31	0.5430682853
32	0.540314909
33	0.5372475337
34	0.5353380138
35	0.5316393211
36	0.5287176836
37	0.5263286815
38	0.524209548
39	0.5207758507
40	0.5176912765
41	0.5151178505
42	0.5123978622
43	0.509033302
44	0.5065607886
45	0.504349795
46	0.5013150092
47	0.4986670869
48	0.4961936622
49	0.4939219978
50	0.4914579442
51	0.4893226046
52	0.4873771542
53	0.4853218781
54	0.4838377681
55	0.4820180588
56	0.4798305096
57	0.4778786457
58	0.4756496222
59	0.4734044893
60	0.4714759509
61	0.4697245312
62	0.4680863415
63	0.4667956771
64	0.464918061
65	0.4629861105
66	0.4612665882
67	0.4595978327
68	0.4578693056
69	0.4562672236
70	0.454947142
71	0.4532291662
72	0.4517701316
73	0.4503173064
74	0.4486910597
75	0.446804874
76	0.4455367395
77	0.4442574088
78	0.4430749269
79	0.4417235729
80	0.4404196048
81	0.4390308375
82	0.4377184107
83	0.4362940705
84	0.4351686185
85	0.4343238557
86	0.4328751488
87	0.431513129
88	0.4307024202
89	0.4297426568
90	0.4283764991
91	0.4274590937
92	0.4261337938
93	0.4248313341
94	0.4238816363
95	0.4232432515
96	0.4221923628
97	0.4214305138
98	0.4202902451
99	0.419438502
100	0.4185734582
101	0.4174739332
102	0.4170270382
103	0.4161054491
104	0.415485316
105	0.4146208223
106	0.4137167475
107	0.412623943
108	0.4117876388
109	0.4109282381
110	0.4101532956
111	0.4093023045
112	0.4086001617
113	0.4079995607
114	0.407333101
115	0.4066082233
116	0.4056722091
117	0.4049349569
118	0.4045385235
119	0.403950089
120	0.4034571993
121	0.40286268
122	0.4024223334
123	0.4018771633
124	0.401269814
125	0.4002602838
126	0.3995406428
127	0.3994252244
128	0.3991290409
129	0.3981336586
130	0.397548292
131	0.396775003
132	0.3962112397
133	0.3956992577
134	0.3948691928
135	0.3943846166
136	0.393945239
137	0.3933313458
138	0.3928902742
139	0.3923506744
140	0.3919348943
141	0.3914586159
142	0.390961539
143	0.3904069596
144	0.3900231617
145	0.3894931559
146	0.3889813623
147	0.3885507856
148	0.3882556021
149	0.3876104515
150	0.3872132228
151	0.386589825
152	0.3862066588
153	0.3856803105
154	0.3851926744
155	0.3846291974
156	0.3841739531
157	0.3838104103
158	0.3834936297
159	0.3830939613
160	0.3827005863
161	0.3824591727
162	0.3819439391
163	0.3815823214
164	0.38118298
165	0.3808879946
166	0.3806269781
167	0.3804419396
168	0.3800120781
169	0.379856252
170	0.3793614476
171	0.3791603011
172	0.3786717776
173	0.3782538401
174	0.3776612438
175	0.3773994302
176	0.3770162495
177	0.3767756692
178	0.3762847419
179	0.3759365803
180	0.3756475757
181	0.3754227673
182	0.3752474343
183	0.3749252992
184	0.3747158652
185	0.3743566152
186	0.374210549
187	0.37399643
188	0.373445399
189	0.3731824966
190	0.3728845319
191	0.3727391023
192	0.3725350833
193	0.3723441286
194	0.372132481
195	0.3719385161
196	0.3716507458
197	0.3714846569
198	0.3711787602
199	0.3710272947
200	0.3708092641
201	0.3705943877
202	0.370375755
203	0.3702476768
204	0.3699931572
205	0.3695979592
206	0.3693264563
207	0.3690074577
208	0.3687884456
209	0.3682838101
210	0.3679826513
211	0.3678084135
212	0.3675980113
213	0.3673828218
214	0.3672337009
215	0.3671281669
216	0.3669178005
217	0.3667464207
218	0.3666394483
219	0.3662133428
220	0.3660698105
221	0.3657734317
222	0.365490048
223	0.3652319698
224	0.3649700205
225	0.3647174995
226	0.3644334844
227	0.36415758
228	0.3640390071
229	0.3638497324
230	0.363649825
231	0.3634434685
232	0.3631974507
233	0.3630802739
234	0.362893156
235	0.3626298609
236	0.3623359443
237	0.3621361403
238	0.3619983262
239	0.3617424037
240	0.3616184055
241	0.3613923143
242	0.3612661347
243	0.3610995012
244	0.3608292597
245	0.360811061
246	0.3605419016
247	0.3604083711
248	0.3599978137
249	0.359830212
250	0.3596009962
251	0.3593999499
252	0.3591339622
253	0.3589415099
254	0.3587538149
255	0.358524316
256	0.3582314839
257	0.3581848135
258	0.3581562938
259	0.3580469508
260	0.3579065653
261	0.3578819726
262	0.35770085
263	0.3575842049
264	0.3574447955
265	0.3573376672
266	0.3572165895
267	0.3570697872
268	0.3568876952
269	0.3567502601
270	0.3566442683
271	0.3565405195
272	0.3564348093
273	0.3563173651
274	0.356069643
275	0.355900565
276	0.355715376
