iter	Logloss
277	0.3555684222
278	0.3553488434
279	0.3551911328
280	0.3550621307
281	0.3548256958
282	0.3546649313
283	0.3545591707
284	0.354429378
285	0.3541674247
286	0.3540041252
287	0.3539102561
288	0.3537052936
289	0.3534234892
290	0.353289286
291	0.3530692364
292	0.3529112773
293	0.3528419986
294	0.3526294988
295	0.3524485263
296	0.3522710518
297	0.3521125955
298	0.352015297
299	0.3518491995
300	0.351647654
301	0.351549007
302	0.351397165
303	0.3513069863
304	0.3509718501
305	0.3507146519
306	0.350539368
307	0.3502846104
308	0.3502103099
309	0.3501119927
310	0.3499651369
311	0.3498701959
312	0.3497092753
313	0.3496481688
314	0.3494596371
315	0.3493539371
316	0.3492277605
317	0.3491391909
318	0.3489830095
319	0.3489312205
320	0.3487863909
321	0.3487132128
322	0.3485936652
323	0.3484540044
324	0.3482796261
325	0.3480152632
326	0.3479691835
327	0.3478523412
328	0.3477619484
329	0.3476759308
330	0.3475522839
331	0.3473270144
332	0.347182126
333	0.3469821505
334	0.3468260885
335	0.3467062837
336	0.3466123311
337	0.3466060346
338	0.3464044092
339	0.3462650764
340	0.346107736
341	0.3459185073
342	0.3457391767
343	0.345579541
344	0.345443391
345	0.3452709103
346	0.3451590654
347	0.3450799271
348	0.3449841069
349	0.3448957446
350	0.3446703239
351	0.3445283416
352	0.3444379524
353	0.344179402
354	0.34401252
355	0.3439422869
356	0.3437531994
357	0.343524997
358	0.3433058834
359	0.3431704237
360	0.3430109915
361	0.3428593371
362	0.3427499906
363	0.3426463697
364	0.3424774945
365	0.3423545398
366	0.3423005452
367	0.342257158
368	0.3422077667
369	0.3421593509
370	0.3419920127
371	0.3419391319
372	0.3417531349
373	0.3416116411
374	0.3414939983
375	0.3414339543
376	0.3412508502
377	0.3411981234
378	0.3411431597
379	0.3409365969
380	0.3407874944
381	0.3407056645
382	0.3405590731
383	0.3404770744
384	0.3404226468
385	0.3403245072
386	0.3402418498
387	0.3401166351
388	0.3400239752
389	0.339974208
390	0.3398038674
391	0.3396665549
392	0.3395716605
393	0.3393754533
394	0.339273191
395	0.3390495289
396	0.3389406167
397	0.3388718772
398	0.3386812878
399	0.3385071994
400	0.338253428
401	0.3382024303
402	0.3381325548
403	0.3380441949
404	0.3379421944
405	0.3378806782
406	0.3377493854
407	0.3376379945
408	0.3375096852
409	0.337295318
410	0.3370423313
411	0.3370148128
412	0.3368355713
413	0.3367298103
414	0.3365404474
415	0.3364850219
416	0.3363149759
417	0.3362008769
418	0.3361503657
419	0.3359607227
420	0.3358581797
421	0.3358047829
422	0.3357008778
423	0.3355725948
424	0.3355232316
425	0.3353562705
426	0.3353295188
427	0.3352643679
428	0.3351158271
429	0.3350010808
430	0.3348078762
431	0.334757241
432	0.3345521897
433	0.3344309389
434	0.3343833462
435	0.3341662757
436	0.3341292635
437	0.3340389639
438	0.3338943878
439	0.3338535752
440	0.333812
441	0.333690148
442	0.3335342686
443	0.3334434261
444	0.3333384774
445	0.333188851
446	0.3331496951
447	0.3330899222
448	0.3329933106
449	0.3329289333
450	0.3328531153
451	0.3327209343
452	0.3327050548
453	0.3324803517
454	0.3322600793
455	0.3321812959
456	0.3320860605
457	0.3320066142
458	0.3319663676
459	0.3318785605
460	0.3318046332
461	0.3317103034
462	0.3315711498
463	0.3313894538
464	0.3313179278
465	0.3312569993
466	0.3310970093
467	0.3310521396
468	0.3309301418
469	0.3307721443
470	0.3306209579
471	0.3305462808
472	0.3304736617
473	0.3303396803
474	0.3302914937
475	0.3302174524
476	0.3301842276
477	0.330062757
478	0.3299225287
479	0.3298928413
480	0.329801365
481	0.3297643018
482	0.3296518429
483	0.3295903823
484	0.3295395392
485	0.3294683833
486	0.3293251838
487	0.3292227707
488	0.3290790278
489	0.3290290626
490	0.3289053437
491	0.328729886
492	0.3286493416
493	0.3284732258
494	0.3283375882
495	0.3282676987
496	0.3281896101
497	0.3280781502
498	0.3280435947
499	0.3279666614
